,std_dt,ticker,administrative_issues_reason
240,20090403,A001600,
241,20090504,A001600,자본잠식(자본금의 50/100이상 잠식)
242,20090717,A001600,"공시의무 위반, 자본잠식(자본금의 50/100이상 잠식)"
243,20090817,A001600,"공시의무 위반, 반기검토의견 의견거절, 자본잠식(자본금의 50/100이상 잠식)"
244,20091001,A001600,"공시의무 위반, 반기검토의견 의견거절, 자본잠식(자본금의 50/100이상 잠식), 주가수준 미달(액면가 20/100미만 30일 계속)"
245,20100111,A001600,"공시의무 위반, 반기검토의견 의견거절, 시가총액 미달(50억원 미만30일 계속), 자본잠식(자본금의 50/100이상 잠식), 주가수준 미달(액면가 20/100미만 30일 계속)"
246,20100119,A001600,"공시의무 위반, 반기검토의견 의견거절, 시가총액 미달(50억원 미만30일 계속), 자본잠식(자본금의 50/100이상 잠식)"
247,20100415,A001600,
248,19991228,A001610,
249,19991228,A001620,
250,19991228,A001630,
251,19991228,A001670,
252,20000104,A001670,사유미상
253,20050429,A001670,
254,19991228,A001680,
255,19991228,A001690,
256,19991228,A001700,
257,19991228,A001720,
258,19991228,A001740,
259,20030401,A001740,사유미상
260,20050401,A001740,
261,19991228,A001750,
262,19991228,A001770,
263,20020321,A001770,사유미상
264,20030324,A001770,
265,19991228,A001780,
266,20000104,A001780,사유미상
267,20020429,A001780,
268,19991228,A001790,
269,19991228,A001800,
270,19991228,A001810,
271,19991228,A001820,
272,19991228,A001830,
273,19991228,A001840,
274,19991228,A001880,
275,19991228,A001910,
276,19991228,A001920,
277,20000104,A001920,사유미상
278,20020422,A001920,
279,19991228,A001930,
280,19991228,A001940,
281,19991228,A001950,
282,20080930,A001950,사유미상
283,20090324,A001950,자본잠식(자본금의 50/100이상 잠식)
284,20090403,A001950,
285,20090504,A001950,자본잠식(자본금의 50/100이상 잠식)
286,20090518,A001950,"보고서 미제출(분기보고서), 자본잠식(자본금의 50/100이상 잠식)"
287,20090519,A001950,자본잠식(자본금의 50/100이상 잠식)
288,20090522,A001950,"자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
289,20091015,A001950,
290,19991228,A001980,
291,20030813,A001980,사유미상
292,20031107,A001980,
293,20040112,A001980,사유미상
294,20040524,A001980,
295,19991228,A001990,
296,19991228,A002000,
297,20050401,A002000,사유미상
298,20050615,A002000,
299,20051004,A002000,사유미상
300,20060102,A002000,
301,20120402,A002000,소액주주지주비율 10/100미만
302,20130128,A002000,
303,19991228,A002010,
304,19991228,A002020,
305,19991228,A002030,
306,19991228,A002050,
307,20000104,A002050,사유미상
308,20021125,A002050,
309,20021127,A002050,사유미상
310,20030512,A002050,
311,19991228,A002070,
312,20050103,A002070,사유미상
313,20050401,A002070,
314,20080929,A002070,사유미상
315,20090123,A002070,
316,19991228,A002080,
317,19991228,A002100,
318,19991228,A002130,
319,20001109,A002130,사유미상
320,20011206,A002130,
321,19991228,A002140,
322,19991228,A002150,
323,19991228,A002170,
324,19991228,A002180,
325,20000104,A002180,사유미상
326,20011121,A002180,
327,20011123,A002180,사유미상
328,20020401,A002180,
329,19991228,A002190,
330,19991228,A002200,
331,19991228,A002210,
332,19991228,A002220,
333,19991228,A002230,
334,19991228,A002240,
335,20010402,A002240,사유미상
336,20010601,A002240,
337,19991228,A002250,
338,20180403,A002250,소액주주지주비율 10/100미만
339,20190520,A002250,
340,19991228,A002270,
341,19991228,A002290,
342,19991228,A002300,
343,19991228,A002310,
344,19991228,A002320,
345,19991228,A002340,
346,19991228,A002350,
347,20000104,A002350,사유미상
348,20000218,A002350,
349,19991228,A002360,
350,19991228,A002380,
351,19991228,A002390,
352,19991228,A002410,
353,20111021,A002410,회생절차개시신청
354,20120402,A002410,"보고서 미제출(사업보고서), 회생절차개시신청"
355,20120410,A002410,"자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
356,20130402,A002410,회생절차개시신청
357,20140509,A002410,
358,19991228,A002420,
359,19991228,A002440,
360,19991228,A002450,
361,20000104,A002450,사유미상
362,20020814,A002450,
363,19991228,A002460,
364,19991228,A002530,
365,20120402,A002530,자본잠식(자본금의 50/100이상 잠식)
366,20120627,A002530,"자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 신청"
367,20120816,A002530,"반기검토의견 의견거절, 자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 신청"
368,20121115,A002530,"반기검토의견 의견거절, 보고서 미제출(분기보고서), 자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 신청"
369,20130402,A002530,회사정리절차 개시 신청
370,20140401,A002530,"보고서 미제출(사업보고서), 회사정리절차 개시 신청"
371,20140425,A002530,
372,19991228,A002540,
373,20010914,A002540,사유미상
374,20030303,A002540,
375,20080417,A002540,사유미상
376,20090324,A002540,감사범위제한으로인한 감사의견한정
377,20090331,A002540,매출액 미달(50억원 미만)
378,20090403,A002540,
379,20090504,A002540,매출액 미달(50억원 미만)
380,20100423,A002540,
381,19991228,A002550,
382,19991228,A002600,
383,19991228,A002610,
384,19991228,A002620,
385,19991228,A002630,
386,19991228,A002670,
387,20120323,A002670,상장폐지사유 발생
388,20120402,A002670,"사업보고서 미제출, 상장폐지사유 발생, 정기주주총회 미개최 또는 재무제표 미승인, 회생절차 개시신청"
389,20120417,A002670,
390,19991228,A002680,
391,19991228,A002690,
392,19991228,A002700,
393,20040528,A002700,사유미상
394,20050401,A002700,
395,19991228,A002710,
396,19991228,A002720,
397,20040830,A002720,사유미상
398,20051226,A002720,
399,19991228,A002730,
400,19991228,A002740,
401,19991228,A002750,
402,19991228,A002760,
403,19991228,A002780,
404,19991228,A002790,
405,19991228,A002800,
406,19991228,A002810,
407,19991228,A002820,
408,19991228,A002830,
409,19991228,A002840,
410,19991228,A002850,
411,19991228,A002860,
412,19991228,A002870,
413,19991228,A002880,
414,20040331,A002880,사유미상
415,20040421,A002880,
416,20040504,A002880,사유미상
417,20050331,A002880,
418,19991228,A002900,
419,19991228,A002910,
420,19991228,A002920,
421,19991228,A002930,
422,20000104,A002930,사유미상
423,20020219,A002930,
424,20020402,A002930,사유미상
425,20020404,A002930,
426,20030325,A002930,사유미상
427,20040510,A002930,
428,19991228,A002940,
429,20000104,A002940,사유미상
430,20000630,A002940,
431,19991228,A002950,
432,19991228,A002960,
433,19991228,A002990,
434,20190325,A002990,감사범위제한으로인한 감사의견한정
435,20190327,A002990,
436,19991228,A003000,
437,19991228,A003010,
438,19991228,A003020,
439,20000104,A003020,사유미상
440,20030526,A003020,
441,20031216,A003020,사유미상
442,20040113,A003020,
443,20040116,A003020,사유미상
444,20040531,A003020,
445,19991228,A003030,
446,19991228,A003040,
447,20000104,A003040,사유미상
448,20040914,A003040,
449,19991228,A003050,
450,19991228,A003060,
451,20000104,A003060,사유미상
452,20011015,A003060,
453,20080125,A003060,사유미상
454,20081222,A003060,
455,19991228,A003070,
456,19991228,A003080,
457,19991228,A003090,
458,19991228,A003100,
459,19991228,A003110,
460,20000331,A003110,사유미상
461,20000404,A003110,
462,20000516,A003110,사유미상
463,20000519,A003110,
464,20001211,A003110,사유미상
465,20010611,A003110,
466,20010816,A003110,사유미상
467,20010925,A003110,
468,20020117,A003110,사유미상
469,20020422,A003110,
470,19991228,A003120,
471,20130102,A003120,거래량요건 미충족(월평균거래량 10/1000미만)
472,20130701,A003120,
473,20140102,A003120,거래량요건 미충족(월평균거래량 10/1000미만)
474,20140411,A003120,
475,19991228,A003160,
476,19991228,A003190,
477,20030328,A003190,사유미상
478,20040219,A003190,
479,20040224,A003190,사유미상
480,20050530,A003190,
481,20050616,A003190,사유미상
482,20051226,A003190,
483,20130402,A003190,자본잠식(자본금의 50/100이상 잠식)
484,20130503,A003190,
485,19991228,A003200,
486,19991228,A003220,
487,19991228,A003230,
488,20000104,A003230,사유미상
489,20050119,A003230,
490,20050125,A003230,사유미상
491,20050401,A003230,
492,19991228,A003240,
493,19991228,A003280,
494,20000104,A003280,사유미상
495,20041201,A003280,
496,20200331,A003280,보고서 미제출(사업보고서)
497,20200410,A003280,
498,20200526,A003280,감사의견 의견거절
499,20200818,A003280,"감사의견 의견거절, 반기검토의견 의견거절"
500,19991228,A003290,
501,19991228,A003300,
502,19991228,A003310,
503,20000201,A003310,사유미상
504,20011226,A003310,
505,19991228,A003320,
506,19991228,A003330,
507,19991228,A003350,
508,19991228,A003380,
509,19991228,A003410,
510,20010402,A003410,사유미상
511,20020401,A003410,
512,19991228,A003430,
513,19991228,A003450,
514,19991228,A003460,
515,19991228,A003470,
516,19991228,A003480,
517,19991228,A003490,
518,19991228,A003500,
519,19991228,A003520,
520,20000104,A003520,사유미상
521,20041005,A003520,
522,19991228,A003530,
523,19991228,A003540,
524,19991228,A003550,
525,19991228,A003560,
526,20000104,A003560,사유미상
527,20020327,A003560,
528,19991228,A003570,
529,20000104,A003570,사유미상
530,20030411,A003570,
531,19991228,A003580,
532,19991228,A003590,
533,20000104,A003590,사유미상
534,20010730,A003590,
535,20030701,A003590,사유미상
536,20040312,A003590,
537,20040324,A003590,사유미상
538,20040722,A003590,
539,19991228,A003600,
540,19991228,A003610,
541,19991228,A003620,
542,20010402,A003620,사유미상
543,20020402,A003620,
544,20090112,A003620,사유미상
545,20090324,A003620,회생절차개시신청
546,20090401,A003620,자본잠식(자본금의 50/100이상 잠식)
547,20090403,A003620,
548,20090504,A003620,"감사범위제한으로인한 감사의견한정, 자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
549,20100330,A003620,회생절차개시신청
550,20110315,A003620,
551,20200818,A003620,반기검토의견 의견거절
552,19991228,A003640,
553,20010402,A003640,사유미상
554,20020402,A003640,
555,19991228,A003650,
556,19991228,A003660,
557,20000104,A003660,사유미상
558,20020109,A003660,
559,20020110,A003660,사유미상
560,20020715,A003660,
561,19991228,A003670,
562,19991228,A003680,
563,19991228,A003690,
564,19991228,A003700,
565,19991228,A003720,
566,19991228,A003780,
567,19991228,A003800,
568,20180418,A003800,주식분산기준미달
569,20181031,A003800,
570,19991228,A003810,
571,20010102,A003810,사유미상
572,20010524,A003810,
573,19991228,A003830,
574,20080701,A003830,사유미상
575,20090102,A003830,
576,20090401,A003830,소액주주지주비율 10/100미만
577,20090403,A003830,
578,20090504,A003830,소액주주지주비율 10/100미만
579,20100401,A003830,
580,19991228,A003840,
581,19991228,A003850,
582,19991228,A003860,
583,19991228,A003890,
584,19991228,A003900,
585,20000104,A003900,사유미상
586,20040312,A003900,
587,19991228,A003920,
588,20030401,A003920,사유미상
589,20030701,A003920,
590,19991228,A003930,
591,20000104,A003930,사유미상
592,20020313,A003930,
593,20040331,A003930,사유미상
594,20040401,A003930,
595,20040517,A003930,사유미상
596,20040630,A003930,
597,19991228,A003940,
598,19991228,A003960,
599,20040629,A003960,사유미상
600,20050630,A003960,
601,20130402,A003960,소액주주지주비율 10/100미만
602,20130701,A003960,
603,19991228,A003970,
604,19991228,A003990,
605,20060330,A003990,사유미상
606,20060517,A003990,
607,20060530,A003990,사유미상
608,20070226,A003990,
609,19991228,A004000,
610,19991228,A004010,
611,20000104,A004010,사유미상
612,20030331,A004010,
613,19991228,A004020,
614,19991228,A004060,
615,20000104,A004060,사유미상
616,20021220,A004060,
617,19991228,A004080,
618,19991228,A004090,
619,19991228,A004100,
620,19991228,A004110,
621,20000104,A004110,사유미상
622,20020429,A004110,
623,19991228,A004130,
624,19991228,A004140,
625,19991228,A004150,
626,19991228,A004170,
627,19991228,A004190,
628,20000104,A004190,사유미상
629,20020208,A004190,
630,20020214,A004190,사유미상
631,20020228,A004190,
632,20030401,A004190,사유미상
633,20040401,A004190,
634,19991228,A004200,
635,19991228,A004210,
636,19991228,A004230,
637,20081224,A004230,사유미상
638,20090324,A004230,공시의무 위반
639,20090403,A004230,
640,19991228,A004250,
641,19991228,A004260,
642,19991228,A004270,
643,19991228,A004280,
644,19991228,A004290,
645,19991228,A004310,
646,19991228,A004320,
647,20000201,A004320,사유미상
648,20010330,A004320,
649,20141008,A004320,회생절차 개시신청
650,20150401,A004320,"상장폐지사유 발생, 자기자본 10억원 미만, 자본잠식률 50% 이상, 정기주주총회 미개최 또는 재무제표 미승인, 회생절차 개시신청"
651,20150413,A004320,
652,19991228,A004360,
653,19991228,A004370,
654,19991228,A004380,
655,19991228,A004390,
656,20010402,A004390,사유미상
657,20020415,A004390,
658,19991228,A004410,
659,19991228,A004430,
660,20030701,A004430,사유미상
661,20031001,A004430,
662,19991228,A004440,
663,19991228,A004450,
664,19991228,A004460,
665,20010402,A004460,사유미상
666,20020415,A004460,
667,19991228,A004480,
668,19991228,A004490,
669,19991228,A004510,
670,20031002,A004510,사유미상
671,20040429,A004510,
672,19991228,A004520,
673,19991228,A004530,
674,20000104,A004530,사유미상
675,20020805,A004530,
676,20070816,A004530,사유미상
677,20080422,A004530,
678,19991228,A004540,
679,19991228,A004550,
680,20110801,A004550,회생절차개시신청
681,20110830,A004550,"반기검토의견 의견거절, 회생절차개시신청"
682,20120402,A004550,"매출액 미달(50억원 미만), 회생절차개시신청"
683,20120622,A004550,
684,19991228,A004560,
685,20000104,A004560,사유미상
686,20010329,A004560,
687,19991228,A004590,
688,20190417,A004590,주식분산기준미달
689,20190507,A004590,
690,19991228,A004600,
691,19991228,A004620,
692,19991228,A004650,
693,19991228,A004660,
694,20010402,A004660,사유미상
695,20040924,A004660,
696,20041011,A004660,사유미상
697,20050331,A004660,
698,19991228,A004690,
699,19991228,A004700,
700,19991228,A004710,
701,19991228,A004720,
702,19991228,A004730,
703,20000104,A004730,사유미상
704,20000131,A004730,
705,19991228,A004740,
706,20000104,A004740,사유미상
707,20011105,A004740,
708,20130530,A004740,회생절차개시신청
709,20130830,A004740,"반기검토의견 의견거절, 회생절차개시신청"
710,20140326,A004740,회생절차개시신청
711,20140513,A004740,
712,20160331,A004740,보고서 미제출(사업보고서)
713,20160411,A004740,
714,20170307,A004740,자본잠식(자본금의 50/100이상 잠식)
715,20170705,A004740,
716,19991228,A004750,
717,19991228,A004770,
718,19991228,A004780,
719,20080416,A004780,사유미상
720,20080526,A004780,
721,19991228,A004790,
722,20130322,A004790,"자기자본 10억원 미만, 자본잠식률 50% 이상, 최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
723,20130520,A004790,"불성실공시(누계벌점 2년간 15점), 자기자본 10억원 미만, 자본잠식률 50% 이상, 최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
724,20130603,A004790,"불성실공시(누계벌점 2년간 15점), 시가총액 40억원 미달 30일 연속  - (2009.02.04 상장폐지실질심사제도 추가), 자기자본 10억원 미만, 자본잠식률 50% 이상, 최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
725,20130830,A004790,"불성실공시(누계벌점 2년간 15점), 시가총액 40억원 미달 30일 연속  - (2009.02.04 상장폐지실질심사제도 추가), 최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
726,20140116,A004790,"불성실공시(누계벌점 2년간 15점), 상장폐지사유 발생, 시가총액 40억원 미달 30일 연속  - (2009.02.04 상장폐지실질심사제도 추가), 최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
727,20140304,A004790,
728,19991228,A004800,
729,19991228,A004820,
730,20000104,A004820,사유미상
731,20021206,A004820,
732,20080401,A004820,사유미상
733,20090324,A004820,자본잠식(자본금의 50/100이상 잠식)
734,20090401,A004820,
735,20100114,A004820,공시의무 위반
736,20100401,A004820,"공시의무 위반, 매출액 미달(50억원 미만)"
737,20100415,A004820,
738,19991228,A004830,
739,19991228,A004840,
740,20020102,A004840,사유미상
741,20020703,A004840,
742,19991228,A004870,
743,20000104,A004870,사유미상
744,20020313,A004870,
745,20020315,A004870,사유미상
746,20020819,A004870,
747,20100401,A004870,매출액 미달(50억원 미만)
748,20110328,A004870,
749,19991228,A004890,
750,19991228,A004910,
751,19991228,A004920,
752,19991228,A004940,
753,19991228,A004960,
754,20000104,A004960,사유미상
755,20030304,A004960,
756,19991228,A004970,
757,19991228,A004980,
758,19991228,A004990,
759,19991228,A005000,
760,19991228,A005010,
761,20000104,A005010,사유미상
762,20010730,A005010,
763,19991228,A005020,
764,19991228,A005030,
765,19991228,A005040,
766,19991228,A005060,
767,20010402,A005060,사유미상
768,20020422,A005060,
769,19991228,A005070,
770,19991228,A005090,
771,20000104,A005090,사유미상
772,20030701,A005090,
773,20180330,A005090,감사범위제한으로인한 감사의견한정
774,20190320,A005090,
775,19991228,A005100,
776,19991228,A005110,
777,20020503,A005110,사유미상
778,20020506,A005110,
779,19991228,A005160,
780,19991228,A005180,
781,19991228,A005190,
782,19991228,A005250,
783,19991228,A005270,
784,19991228,A005280,
785,19991228,A005290,
786,19991228,A005300,
787,19991228,A005320,
788,19991228,A005330,
789,20000104,A005330,사유미상
790,20040812,A005330,
791,19991228,A005350,
792,20100506,A005350,회사정리절차 개시 신청
793,20100603,A005350,
794,20110314,A005350,회생절차개시신청
795,20110415,A005350,
796,19991228,A005360,
797,19991228,A005380,
798,19991228,A005390,
799,20000104,A005390,사유미상
800,20021213,A005390,
801,19991228,A005410,
802,20000104,A005410,사유미상
803,20000914,A005410,
804,19991228,A005420,
805,20000104,A005420,사유미상
806,20030626,A005420,
807,19991228,A005430,
808,19991228,A005440,
809,19991228,A005450,
810,20000104,A005450,사유미상
811,20010611,A005450,
812,20190418,A005450,감사의견 의견거절
813,20190816,A005450,"감사의견 의견거절, 반기검토의견 의견거절"
814,20200630,A005450,
815,19991228,A005470,
816,19991228,A005490,
817,19991228,A005500,
818,19991228,A005510,
819,19991228,A005560,
820,20000104,A005560,사유미상
821,20030128,A005560,
822,20030204,A005560,사유미상
823,20030425,A005560,
824,19991228,A005580,
825,20000104,A005580,사유미상
826,20000630,A005580,
827,19991228,A005600,
828,20040120,A005600,사유미상
829,20050107,A005600,
830,19991228,A005610,
831,20000104,A005610,사유미상
832,20021126,A005610,
833,19991228,A005620,
834,19991228,A005650,
835,19991228,A005660,
836,19991228,A005670,
837,19991228,A005680,
838,19991228,A005690,
839,20020322,A005690,사유미상
840,20030401,A005690,
841,19991228,A005710,
842,19991228,A005720,
843,19991228,A005740,
844,20000104,A005740,사유미상
845,20030903,A005740,
846,19991228,A005750,
847,19991228,A005760,
848,20000104,A005760,사유미상
849,20011217,A005760,
850,20080130,A005760,사유미상
851,20090219,A005760,
852,19991228,A005770,
853,20020402,A005770,사유미상
854,20030417,A005770,
855,19991228,A005790,
856,20000104,A005790,사유미상
857,20000214,A005790,
858,19991228,A005800,
859,19991228,A005810,
860,19991228,A005820,
861,19991228,A005830,
862,19991228,A005850,
863,19991228,A005860,
864,19991228,A005870,
865,20010702,A005870,사유미상
866,20020514,A005870,
867,19991228,A005880,
868,20110126,A005880,회사정리절차 개시 신청
869,20110216,A005880,회생절차개시신청
870,20110330,A005880,"감사범위제한으로인한 감사의견한정, 회생절차개시신청"
871,20120402,A005880,회생절차개시신청
872,20131111,A005880,
873,19991228,A005890,
874,19991228,A005930,
875,19991228,A005940,
876,19991228,A005950,
877,19991228,A005960,
878,20150105,A005960,회생절차개시신청
879,20150224,A005960,"주가수준 미달(액면가 20/100미만 30일 계속), 회생절차개시신청"
880,20150401,A005960,"자본잠식(자본금의 50/100이상 잠식), 주가수준 미달(액면가 20/100미만 30일 계속), 회생절차개시신청"
881,20151021,A005960,"자본잠식(자본금의 50/100이상 잠식), 회생절차개시신청"
882,20160331,A005960,회생절차개시신청
883,20161028,A005960,
884,19991228,A005980,
885,20100629,A005980,회생절차개시신청
886,20100817,A005980,"반기검토의견 의견거절, 회사정리절차 개시 신청"
887,20100929,A005980,"반기검토의견 의견거절, 주가수준 미달(액면가 20/100미만 30일 계속), 회사정리절차 개시 신청"
888,20101108,A005980,"반기검토의견 의견거절, 시가총액 미달(50억원 미만30일 계속), 주가수준 미달(액면가 20/100미만 30일 계속), 회사정리절차 개시 신청"
889,20101220,A005980,"반기검토의견 의견거절, 주가수준 미달(액면가 20/100미만 30일 계속), 회사정리절차 개시 신청"
890,20101227,A005980,"반기검토의견 의견거절, 회사정리절차 개시 신청"
891,20110401,A005980,"자본잠식(자본금의 50/100이상 잠식), 회사정리절차 개시 신청"
892,20120120,A005980,자본잠식(자본금의 50/100이상 잠식)
893,20120329,A005980,
894,20180816,A005980,반기검토의견 의견거절
895,20181004,A005980,
896,19991228,A005990,
897,19991228,A006000,
898,19991228,A006040,
899,19991228,A006050,
900,19991228,A006060,
901,19991228,A006070,
902,20000104,A006070,사유미상
903,20011022,A006070,
904,20011024,A006070,사유미상
905,20030102,A006070,
906,20030107,A006070,사유미상
907,20030728,A006070,
908,20030804,A006070,사유미상
909,20031103,A006070,
910,20090305,A006070,사유미상
911,20090324,A006070,회생절차개시신청
912,20090403,A006070,
913,20090504,A006070,회생절차개시신청
914,20090513,A006070,
915,19991228,A006090,
916,19991228,A006110,
917,19991228,A006120,
918,19991228,A006140,
919,19991228,A006150,
920,20040331,A006150,사유미상
921,20050411,A006150,
922,19991228,A006160,
